,0
Allograpta,391
Allolobophora,1
Allomyrina,2
Allonemobius,38
Alloperla,1
Allophrys,1
Allophyes,19
Allophylina,3
Allophylopsis,11
Allopterus,1
Allorhynchium,7
Allosmaitia,5
Allotinus,11
Allotraeus,2
Allotria,168
Allotruxalis,2
Alloxysta,1
Alluaudia,1
Allygidius,2
Allygus,8
Almana,1
Alnus,23
Aloa,18
Alobaldia,2
Alobates,50
Alocasia,2
Alocerus,1
Aloeides,2
Alompra,2
Alophia,1
Alophosoma,7
Alopias,1
Alosa,2
Alosextius,1
Alosimus,1
Alosterna,8
Alotanypus,5
Aloysia,8
Alpenus,6
Alphasida,2
Alpheias,27
Alpheioides,4
Alphina,6
Alphitobius,15
Alpinacris,8
Alseuosmia,1
Alsophila,155
Altha,5
Althaeus,1
Althos,1
Altica,54
Altinote,28
Alucita,86
Alurnus,15
Alvaradoia,1
Alydus,97
Alypia,514
Alypiodes,26
Alysia,7
Alytarchia,6
Amannus,1
Amantis,1
Amara,47
Amaranthus,1
Amarotypus,1
Amartus,29
Amarygmus,23
Amaryllis,1
Amarynthis,8
Amasa,3
Amastris,3
Amastus,22
Amata,497
Amathusia,30
Amathuxidia,4
Amatissa,2
Amauris,10
Amaurochrous,6
Amaurodes,1
Amauromyza,2
Amaurornis,1
Amauta,2
Amaxia,6
Amazoneura,1
Ambeodontus,3
Amblonoxia,24
Ambloplisus,1
Amblycerus,14
Amblycheila,8
Amblychia,10
Amblycorypha,85
Amblyderus,1
Amblyolepis,8
Amblyonychus,1
Amblyopone,18
Amblypodia,7
Amblypsilopus,1
Amblyptilia,94
Amblyscirtes,476
Amblysellus,9
Amblyteles,12
Amblytropidia,62
Amblytylus,8
Ambragaeana,1
Ambrosia,7
Ambrosiodmus,1
Ambrysus,7
Ambulyx,56
Amegilla,48
Amelanchier,10
Ameles,50
Ameletopsis,5
Ameletus,8
Amenia,2
Amerila,21
Amesia,3
Ametastegia,3
Ametris,5
Amiana,1
Amicta,2
Amictus,2
Amimenus,4
Amiocentrus,1
Amitermes,4
Amithao,4
Ammalo,4
Ammannia,1
Ammobaenetes,2
Ammocharis,1
Ammoconia,1
Ammopelmatus,4
Ammophila,283
Ammophilia,1
Amnestus,3
Amoea,2
Amolita,46
Amolops,1
Amonostherium,1
Amorbia,93
Amorbus,5
Amorpha,363
Amorphicola,5
Amorphocephala,1
Amorphoscelis,4
Ampagia,1
Ampedus,86
Ampeloglypter,1
Ampelophaga,8
Amphasia,19
Amphelasma,2
Amphiachyris,3
Amphiagrion,185
Amphiareus,1
Amphibolips,256
Amphicerus,33
Amphichroum,2
Amphiclasta,1
Amphicnemis,5
Amphicrossus,6
Amphiderita,1
Amphigerontia,2
Amphimallon,47
Amphineurus,6
Amphion,177
Amphiongia,10
Amphiplatys,1
Amphipoea,102
Amphipsalta,143
Amphipyra,398
Amphisbatis,1
Amphithemis,1
Amphitorna,5
Amphitornus,10
Amphizoa,1
Amphotis,1
Ampittia,25
Amplicephalus,13
Amplypterus,25
Ampulex,23
Amraica,6
Amsacta,3
Amsactoides,10
Amsinckia,26
Amsonia,3
Amychus,5
Amycle,1
Amycles,1
Amydria,80
Amyelois,23
Amylopterus,3
Amyna,130
Anabarhynchus,2
Anabrus,44
Anacaena,1
Anacampsis,98
Anacamptodes,1
Anacanthotermes,4
Anacharis,8
Anachloris,51
Anachrostis,1
Anaciaeschna,3
Anaclastis,1
Anacridium,220
Anadelosemia,4
Anadevidia,2
Anaea,820
Anaesthetis,1
Anageshna,200
Anaglyptus,8
Anagotus,15
Anagrapha,232
Anagyrus,14
Anahydrophorus,1
Anaides,1
Analeptes,4
Analeptura,68
Analyta,1
Anambodera,1
Anamesia,1
Anametis,1
Ananas,55
Ananca,1
Anania,388
Anaphalantus,1
Anaphalis,16
Anaphe,2
Anaphosia,1
Anaplectoides,91
Anarmodia,3
Anarsia,15
Anarta,53
Anartia,1849
Anas,2
Anasa,113
Anasimyia,6
Anaspis,29
Anastatus,1
Anastoechus,1
Anastrangalia,90
Anastrepha,12
Anastrus,13
Anathix,94
Anaticola,1
Anatis,202
Anatoecus,1
Anatrachyntis,1
Anatralata,2
Anatrichis,1
Anatrytone,237
Anatya,4
Anaulacomera,4
Anavitrinella,410
Anax,2877
Anaxidia,4
Anaxipha,20
Anaxita,9
Ancala,2
Ancema,3
Anchastus,7
Anchiale,3
Anchista,1
Anchomenus,9
Anchomma,1
Anchon,1
Ancistocerus,1
Ancistrocerus,162
Ancistrogaster,1
Ancistroides,24
Ancistronycha,7
Ancistropterus,3
Ancita,1
Ancognatha,14
Anconia,40
Ancylis,322
Ancylocera,3
Ancylolomia,10
Ancylonotus,1
Ancylopus,5
Ancyloscelis,2
Ancylosis,10
Ancylostomia,10
Ancylotropis,1
Ancyloxypha,653
Ancyluris,7
Ancyrosoma,11
Andesia,1
Andinaugochlora,1
Andraca,1
Andraegoidus,1
Andrena,380
Andrenosoma,7
Andrhippuris,1
Andricus,970
Andrioplecta,1
Androchirus,1
Androloma,14
Androlyperus,4
Andronymus,2
Andropolia,4
Androporus,1
Andryala,1
Anechura,3
Aneflomorpha,7
Aneflus,1
Anelaphus,33
Anelastes,4
Anelpistus,1
Anemanthele,1
Anemone,4
Anemosa,5
Anemosella,11
Anereuthina,2
Anestia,17
Anethum,10
Anetia,24
Aneugmenus,1
Aneuma,4
Aneurus,6
Aneuxanthis,1
Anexochus,1
Angarotipula,2
Angela,2
Angelica,9
Angerona,6
Angonyx,17
Angustalius,3
Anhimella,6
Anicla,541
Anidorus,1
Anigraea,1
Animomyia,2
Anisacanthus,6
Anisagrion,4
Anisia,1
Anisocarpus,2
Anisocelis,6
Anisochoria,2
Anisococcus,1
Anisodactylus,16
Anisodes,2
Anisogomphus,2
Anisogona,16
Anisolabis,61
Anisomorpha,216
Anisoneura,38
Anisoperas,3
Anisophya,2
Anisoplaca,6
Anisopleura,4
Anisoplia,5
Anisops,22
Anisoptera,6
Anisoscelis,108
Anisostena,3
Anisosticta,16
Anisota,549
Anisotoma,2
Anisozyga,2
Anisynta,2
Annaphila,100
Anoba,3
Anobium,17
Anochrostomus,2
Anoda,1
Anoecia,2
Anoecoconeossa,3
Anogcodes,3
Anolis,1
Anomala,140
Anomalacra,2
Anomalipus,1
Anomalomyia,7
Anomalon,1
Anomalurus,28
Anomis,110
Anomocentris,1
Anomoea,73
Anomoia,5
Anomoneura,4
Anomophysis,2
Anonconotus,4
Anonychia,4
Anonychomyrma,1
Anopheles,33
Anopina,65
Anoplaspis,7
Anoplius,32
Anoplocnemis,8
Anoplodera,11
Anoploderma,1
Anoplognathus,20
Anoplolepis,51
Anoplophora,51
Anoplotrupes,164
Anoratha,5
Anormenis,2
Anorostoma,1
Anorthoa,6
Anorthodes,3
Anorus,17
Anoscopus,3
Anostirus,7
Anostostoma,3
Anotia,16
Anotogaster,9
Anotylus,4
Anoxia,16
Anstenoptilia,143
Antachara,1
Antaeotricha,315
Antanartia,10
Antaxius,10
Antecrurisa,1
Antennaria,7
Anteon,3
Anteos,322
Antepione,116
Antepipona,6
Antepirrhoe,17
Anterastria,9
Anterhynchium,2
Anteros,81
Antestiopsis,1
Antha,1
Anthanassa,1156
Antharmostes,1
Anthaxia,62
Anthela,92
Antheminia,8
Anthemis,3
Anthene,100
Antheraea,1358
Antherina,4
Antherophagus,4
Antheua,10
Anthia,27
Anthicomorphus,1
Anthicus,9
Anthidiellum,7
Anthidium,271
Anthinobaris,3
Anthobium,2
Anthoboscus,1
Anthocaris,1
Anthocharis,1107
Anthocomus,46
Anthocoris,10
Anthodioctes,1
Anthomyia,95
Anthonomus,40
Anthophagus,1
Anthophila,46
Anthophiloptera,1
Anthophora,152
Anthophorula,1
Anthophylax,19
Anthopotamus,6
Anthoptus,8
Anthracalaus,1
Anthracia,1
Anthracocentrus,3
Anthracopteryx,1
Anthrax,80
Anthrenocerus,16
Anthrenus,457
Anthribus,6
Anthurium,2
Anthypna,2
Antiagrion,1
Antianthe,25
Antiblemma,16
Anticarsia,316
Antichloris,1
Anticla,8
Anticlea,224
Anticollix,1
Anticrates,3
Antictenia,19
Antigastra,21
Antigius,2
Antigonus,233
Antillea,3
Antilochus,8
Antimimistis,2
Antipercnia,1
Antiphalera,13
Antiplecta,6
Antipodochlora,5
Antipodophlebia,1
Antipodromia,1
Antipterna,4
Antirrhea,7
Antiscopa,7
Antispila,2
Antistathmoptera,1
Antistrophus,1
Antithemerastis,2
Antitrygodes,30
Antitype,2
Antivaleria,3
Antodynerus,1
Antron,87
Anubis,1
Anuga,7
Anurogryllus,10
Anycteola,1
Anzaspis,1
Anzora,19
Anzygina,14
Aon,34
Aonidiella,3
Aoplonema,12
Aopodisma,1
Aoraia,4
Aoria,1
Aoteapsyche,4
Aoteasalda,2
Apache,20
Apalus,2
Apamea,439
Apanisagrion,16
Apanteles,1
Apantesis,352
Apatelodes,246
Apateticus,4
Apatides,16
Apatura,143
Apaturina,1
Apechthes,1
Apedilum,2
Apeira,7
Apenes,4
Apertochrysa,1
Apha,17
Aphaena,1
Aphaenogaster,130
Aphalaroida,2
Aphananthe,1
Aphanomerus,5
Aphanostephus,9
Aphanotrigonum,1
Aphantopus,236
Aphanus,4
Aphelia,4
Aphelinus,9
Apheliona,1
Aphelocephala,1
Aphelocheirus,1
Aphelonyx,1
Aphidecta,5
Aphidius,1
Aphidoletes,5
Aphilanthops,7
Aphilon,2
Aphis,893
Aphobetus,2
Aphodius,76
Aphoebantus,8
Aphomia,190
Aphonopelma,2
Aphonus,1
Aphorista,30
Aphrastus,8
Aphria,1
Aphrissa,54
Aphrodes,1
Aphrodisium,1
Aphrophora,58
Aphthona,5
Aphtora,2
Aphylla,272
Aphytis,8
Aphytoceros,17
Apilocrocis,11
Apina,6
Apiocera,7
Apiomerus,449
Apion,13
Apiosporina,1
Apis,11555
Apistosia,5
Apium,1
Aplagiognathus,1
Aplasta,3
Aplectoides,19
Apleurus,12
Aplidia,1
Aplocera,42
Aplocnemus,3
Aplomya,1
Aploneura,3
Apocephalus,1
Apocheima,8
Apochima,7
Apochrysa,1
Apoctena,3
Apocynum,13
Apoda,120
Apodasmia,2
Apodemia,628
Apoderus,18
Apodia,2
Apodiphus,4
Apodrepanulatrix,1
Apoecilus,1
Apogeshna,69
Apogonalia,4
Apogonia,2
Apoica,10
Apolinus,31
Apolygopsis,2
Apolygus,16
Apolysis,2
Apomecyna,4
Apomyelois,32
Apona,5
Aponotoreas,3
Aponsila,1
Apopestes,8
Aporandria,6
Aporia,128
Aporocera,4
Aporoctena,10
Aporodes,4
Aporophyla,18
Aporus,8
Apotolype,16
Apotomis,76
Appasus,6
Appias,171
Appula,1
Apriona,4
Aprivesa,2
Aproaerema,4
Aproceros,2
Apsarasa,4
Apsena,9
Aptenopedes,9
Aptera,2
Apterobittacus,19
Apterocaulus,1
Apterocyclus,2
Apterodorcus,2
Apterogenum,2
Apterola,2
Apteroloma,1
Apteromantis,1
Apterona,1
Apterygida,1
Apterygothrips,1
Apuecla,1
Apyrrothrix,34
Aquarius,517
Aquatica,1
Aquilegia,3
Aquita,7
Arabicnemis,3
Arabineura,10
Arachnis,118
Arachnocampa,53
Arachnocephalus,6
Arachnocolus,1
Arachnographa,1
Arachnoscelis,1
Arachnospila,2
Aradus,21
Araecerus,5
Araeocerodes,1
Araeodontia,2
Araeopteron,14
Araeopus,1
Araiobelus,1
Aralia,2
Aramigus,1
Aramos,7
Araneus,1
Araotes,2
Arasada,1
Araschnia,186
Araucaria,5
Araujia,3
Arawacus,153
Arbelodes,1
Arboridia,6
Arbutus,11
Arcania,1
Arcas,2
Arcastes,1
Arcesis,10
Archaeoattacus,4
Archaeogomphus,2
Archaeophlebia,1
Archaeopodagrion,2
Archaeoprepona,56
Archaeoteleia,1
Archaereta,1
Archanara,4
Archarius,1
Archasia,22
Archeocrypticus,10
Archernis,1
Archibasis,6
Archiblatta,1
Archichauliodes,75
Archichlora,1
Archiearis,43
Archilestes,687
Archilestris,14
Archilochus,1
Archimaga,1
Archimandrita,8
Archimantis,6
Archimestra,6
Archips,610
Archirhoe,74
Archodontes,9
Archon,22
Archonias,2
Archophileurus,2
Archyala,2
Archytas,78
Arcidens,8
Arcobara,15
Arcola,5
Arcte,15
Arctesthes,2
Arctia,241
Arctioblepsis,24
Arctium,8
Arctocephalus,1
Arctonotus,3
Arctornis,11
Arctostaphylos,35
Arcyptera,17
Ardea,1
Ardices,2
Ardiosteres,4
Ardozyga,25
Areas,16
Arecocryptus,1
Arecopais,2
Aredolpona,4
Arenetra,1
Areniscythris,5
Arenivaga,57
Arenochroa,1
Arenostola,4
Arequipa,11
Arescoptera,1
Arethaea,19
Arethusana,9
Areva,1
Arge,109
Argema,14
Argentina,1
Argentostiria,6
Argia,10010
Argillophora,3
Argina,19
Argiocnemis,10
Argiolaus,2
Argiope,7
Argogorytes,7
Argolamprotes,3
Argon,1
Argopistes,5
Argoporis,5
Argopus,3
Argosarchus,38
Arguda,2
Argynnina,2
Argynnis,581
Argyractoides,1
Argyresthia,198
Argyreus,57
Argyria,147
Argyripa,1
Argyrogramma,45
Argyronome,6
Argyrophenga,77
Argyroploce,1
Argyrostrotis,62
Argyrotaenia,876
Argyrotome,5
Arhaphe,4
Arhodia,54
Arhopala,98
Arhopalus,66
Arhyssus,19
Ariadne,56
Ariathisa,1
Arichanna,7
Aricia,239
Aricoris,3
Aridaeus,6
Aridelus,9
Arignota,4
Arigomphus,638
Arilus,1107
Ariola,1
Ariolica,3
Arippara,6
Arisaema,2
Aristaenetoides,1
Aristeis,6
Aristobia,11
Aristocypha,1
Aristolochia,12
Aristotelia,239
Arizona,5
Arma,5
Armactica,9
Armadillidium,1
Armalia,1
Armeria,4
Armidia,2
Arna,24
Arnica,1
Arniocera,5
Arnoglossum,3
Aroa,21
Arocatus,32
Arocephalus,1
Aroga,70
Arogalea,104
Aromia,33
Aronia,1
Arotes,8
Arotrura,1
Arphia,293
Arrade,11
Arrenodes,3
Arrhenodes,74
Arsacia,12
Arsenura,68
Arsipoda,1
Arta,267
Artabanus,2
Artace,125
Artaxa,7
Artemidorus,1
Artemisia,18
Artena,26
Arteurotia,42
Arthrolips,1
Arthromacra,12
Arthromastix,1
Arthropeas,1
Arthropodium,1
Arthroschista,10
Artigisa,6
Artimelia,2
Artipe,3
Artipus,10
Artogeia,10
Artona,38
Artystona,17
Arugisa,36
Arunta,3
Arvelius,22
Arytainilla,5
Arytrurides,1
Asalebria,1
Asaperda,1
Asaphes,1
Asaphidion,4
Asaphocrita,13
Asaphodes,39
Asarkina,1
Asbolis,58
Asbolus,91
Ascalapha,974
Ascalaphus,5
Ascalenia,2
Ascalobyas,2
Ascalohybris,10
Ascaloptynx,9
Ascarina,1
Ascetoderes,1
Aschiphasma,1
Ascia,733
Asciodes,6
Asclepias,369
Asclera,48
Ascogaster,1
Ascotis,18
Asemum,4
Aseptis,30
Ashinaga,1
Ashlockaria,4
Ashmeadiella,1
Asiagomphus,5
Asida,3
Asidopsis,1
Asilis,3
Asilus,37
Asinduma,3
Asiophlugis,2
Asiotmethis,1
Asobara,4
Asota,255
Asphaera,75
Asphodelus,1
Asphondylia,379
Aspicela,7
Aspidapion,14
Aspidaspis,1
Aspidimorpha,44
Aspidiotus,5
Aspidoglossa,11
Aspidolea,1
Aspidomorpha,22
Aspilapteryx,4
Aspilosterna,1
Aspilota,8
Aspisomoides,1
Aspitates,24
Aspius,4
Asplenium,2
Assara,18
Assycuera,2
Astata,4
Asteia,4
Astelia,10
Astenus,4
Aster,18
Asterivora,11
Asterocampa,2402
Asteromyia,11
Asterope,2
Asthena,16
Asthenia,1
Asthenoptycha,4
Astictopterus,17
Astragalus,4
Astrantia,1
Astrapaeus,1
Astrapometis,1
Astraptes,357
Astrotischeria,2
Asturodes,12
Astygisa,3
Astyleiopus,14
Astylidius,2
Astylopsis,13
Astylus,18
Asura,39
Asymmetricata,2
Ataboruza,16
Atachycines,1
Atacta,1
Ataeniopsis,1
Ataenius,28
Atalantycha,88
Atalopedes,1202
Atanycolus,1
Atarnes,22
Atascosa,1
Atasthalistis,3
Ataxia,16
Ategumia,20
Ateleia,1
Ateliotum,1
Ateloplus,5
Aterica,28
Aterpia,3
Atesta,1
Atethmia,5
Ateuchus,8
Athalia,14
Atheloca,1
Athemus,1
Atherigona,8
Atheropla,2
Atheta,1
Athetis,275
Athis,5
Athletes,2
Athous,75
Athrips,27
Athripsodes,1
Athroolopha,1
Athyma,96
Athyrma,4
Athysanopsis,2
Athysanus,14
Atimia,4
Atlantea,2
Atlanticus,31
Atlides,398
Atomacera,9
Atomaria,8
Atomosia,23
Atomotricha,1
Atopomyrmex,1
Atoposmia,1
Atrachya,1
Atractocerus,1
Atractomorpha,38
Atractotomus,2
Atrazonotus,1
Atrichonotus,13
Atriplex,5
Atrocalopteryx,3
Atrophaneura,33
Atrusca,7
Atrypanius,2
Atrytone,6
Atrytonopsis,89
Atta,356
Attacus,59
Attagenus,19
Attalus,21
Attaneuria,1
Attatha,6
Attelabus,10
Atteva,1490
Attonda,1
Atylostagma,2
Atylotus,7
Atymna,6
Atyria,5
Aubergina,5
Aucha,3
Auchmis,2
Auchmobius,1
Aucklandella,9
Audea,1
Aufeius,6
Augochlora,125
Augochlorella,42
Augochloropsis,64
Augocoris,2
Aulacaspis,2
Aulacidea,2
Aulacocyclus,2
Aulacophora,17
Aulacopodus,3
Aulacorthum,2
Aulacosternus,3
Aularches,11
Auletobius,3
Aulocara,14
Aulocera,5
Aulogastromyia,1
Aulonium,1
Aulonothroscus,1
Aulops,1
Auplopus,7
Aurana,2
Aurelia,1
Auriculoceryx,4
Aurinia,1
Aurivillius,3
Aurotipula,6
Ausejanus,6
Austracris,4
Australaphodius,2
Australimyza,2
Australoberis,7
Australosepsis,1
Australothis,19
Austramathes,4
Austroaeschna,30
Austroagrion,7
Austroargiolestes,52
Austroasca,4
Austrocarea,15
Austrocidaria,43
Austrocnemis,2
Austrocordulia,1
Austrogomphus,24
Austrogymnocnemia,1
Austrohelcon,1
Austrohelea,1
Austrolestes,193
Austrolimnophila,7
Austrolophrum,2
Austromalaya,1
Austromantispa,1
Austroperla,15
Austropetalia,1
Austrophlugis,2
Austropsocus,22
Austrosciapus,34
Austroscolia,14
Austrosimulium,12
Austrotephritis,2
Austroterpna,4
Austrotipula,2
Autoba,5
Autocharis,4
Autochloris,1
Autochton,270
Autocrates,1
Autographa,813
Autolyca,4
Automeris,970
Automola,1
Automolis,1
Autoplusia,9
Autosticha,26
Auzata,1
Auzea,1
Avaria,1
Avatha,5
Avena,2
Avicennia,3
Avitta,2
Axanthosoma,1
Axarus,18
Axenus,4
Axestoleus,1
Axiagastus,3
Axinidris,1
Axinoptera,2
Axinotarsus,3
Axiocerses,12
Axiocrita,1
Axiocteta,2
Axion,93
Axylia,31
Azanus,53
Azelina,1
Azenia,86
Azeta,15
Azochis,15
Azteca,3
Aztecacris,1
Aztecanthidium,2
Azuragrion,13
Azya,39
Azygophleps,6
Babia,9
Baccha,15
Baccharis,84
Bacillus,13
Bacteria,3
Bactericera,68
Bactra,65
Bactrocera,28
Bactrododema,2
Bactromantis,16
Badamia,19
Badister,15
Badumna,1
Baecula,3
Baenothrips,6
Baeoalitriozus,7
Baeocera,8
Baeocoris,1
Baeoglossa,1
Baeopelma,8
Baeopterus,2
Baeotis,25
Baeotus,1
Baetica,1
Baetis,13
Baetisca,4
Baeus,1
Bagada,6
Bagisara,120
Bagodares,1
Bagous,1
Bagrada,269
Bahiopsis,9
Baileya,355
Baizongia,1
Balaana,1
Balacra,5
Balanites,1
Balanococcus,1
Balanopteryx,1
Balantiucha,5
Balataea,4
Balboa,1
Balbura,3
Balcanocerus,1
Balclutha,17
Balduina,1
Baliga,18
Baliochila,1
Baliosus,11
Ballota,1
Balsa,191
Balta,45
Baltimora,3
Bambusa,1
Bamra,2
Banasa,373
Banchus,1
Bandara,1
Bandidus,4
Baniana,1
Banisia,13
Bankesia,1
Banksia,3
Banksiola,11
Baoris,7
Baorisa,5
Baptarma,1
Baptisia,1
Baptria,2
Baradesa,2
Baralipton,3
Barantola,3
Barasa,8
Barbara,4
Barbarea,1
Barberia,2
Barberiella,2
Barbicornis,3
Barbitistes,28
Barce,3
Barea,38
Bareogonalos,1
Baris,3
Baroa,7
Baronia,6
Barsine,161
Barynotus,3
Barypeithes,25
Barytettix,9
Basanus,1
Basiaeschna,178
Basilia,1
Basilodes,46
Basiothia,6
Basiprionota,1
Bassareus,10
Bassaris,1
Bassariscus,1
Bassarona,6
Bastilla,135
Batesia,1
Bathrosterra,2
Bathrus,1
Bathyllus,2
Bathyphlebia,1
Batia,25
Batocera,43
Batocnema,4
Batozonellus,3
Batracharta,4
Batrachedra,18
Batracomorphus,1
Battaristis,49
Battigrassiella,3
Battus,3149
Batus,2
Batyle,68
Bauhinia,21
Bayadera,2
Beameria,5
Beara,1
Bebearia,19
Beckerus,1
Bedellia,14
Begonia,1
Behemothia,3
Behrensia,10
Beilschmiedia,1
Belciana,7
Belemnia,1
Belemniastis,1
Belenois,184
Belgica,1
Bellamira,7
Bellardia,3
Bellis,6
