Agonoscelis,Pentatomidae,Hemiptera
Agonum,Carabidae,Coleoptera
Agraulis,Nymphalidae,Lepidoptera
Agraylea,Hydroptilidae,Trichoptera
Agrilaxia,Buprestidae,Coleoptera
Agrilus,Buprestidae,Coleoptera
Agriotes,Elateridae,Coleoptera
Agriphila,Crambidae,Lepidoptera
Agrius,Sphingidae,Lepidoptera
Agrochola,Noctuidae,Lepidoptera
Agroecotettix,Acrididae,Orthoptera
Agroiconota,Chrysomelidae,Coleoptera
Agromyza,Agromyzidae,Diptera
Agrotis,Noctuidae,Lepidoptera
Agrypnia,Phryganeidae,Trichoptera
Agrypnus,Elateridae,Coleoptera
Agulla,Raphidiidae,Raphidioptera
Aguna,Hesperiidae,Lepidoptera
Aguriahana,Cicadellidae,Hemiptera
Agylla,Erebidae,Lepidoptera
Agymnastus,Acrididae,Orthoptera
Agyrtes,Agyrtidae,Coleoptera
Aidemona,Acrididae,Orthoptera
Akephorus,Carabidae,Coleoptera
Alabagrus,Braconidae,Hymenoptera
Alaetrinus,Tenebrionidae,Coleoptera
Alarodia,Limacodidae,Lepidoptera
Alaruasa,Fulgoridae,Hemiptera
Alastria,Noctuidae,Lepidoptera
Alaus,Elateridae,Coleoptera
Albuna,Sesiidae,Lepidoptera
Alcaeorrhynchus,Pentatomidae,Hemiptera
Alcathoe,Sesiidae,Lepidoptera
Alconeura,Cicadellidae,Hemiptera
Aldrichia,Bombyliidae,Diptera
Alebra,Cicadellidae,Hemiptera
Aleiodes,Braconidae,Hymenoptera
Aleochara,Staphylinidae,Coleoptera
Aleptina,Noctuidae,Lepidoptera
Aleurocanthus,Aleyrodidae,Hemiptera
Aleurodicus,Aleyrodidae,Hemiptera
Aleuroplatus,Aleyrodidae,Hemiptera
Aleurothrixus,Aleyrodidae,Hemiptera
Aleurotrachelus,Aleyrodidae,Hemiptera
Algarobius,Chrysomelidae,Coleoptera
Aligia,Cicadellidae,Hemiptera
Allagrapha,Noctuidae,Lepidoptera
Allantus,Tenthredinidae,Hymenoptera
Allerastria,Erebidae,Lepidoptera
Allocapnia,Capniidae,Plecoptera
Alloeorhynchus,Nabidae,Hemiptera
Allograpta,Syrphidae,Diptera
Allonemobius,Gryllidae,Orthoptera
Alloperla,Chloroperlidae,Plecoptera
Allophrys,Ichneumonidae,Hymenoptera
Allosmaitia,Lycaenidae,Lepidoptera
Allotria,Erebidae,Lepidoptera
Allygus,Cicadellidae,Hemiptera
Alobates,Tenebrionidae,Coleoptera
Alotanypus,Chironomidae,Diptera
Alpheias,Pyralidae,Lepidoptera
Alpheioides,Pyralidae,Lepidoptera
Alphina,Fulgoridae,Hemiptera
Alphitobius,Tenebrionidae,Coleoptera
Alsophila,Geometridae,Lepidoptera
Althaeus,Chrysomelidae,Coleoptera
Althos,Coreidae,Hemiptera
Altica,Chrysomelidae,Coleoptera
Alucita,Alucitidae,Lepidoptera
Alydus,Alydidae,Hemiptera
Alypia,Noctuidae,Lepidoptera
Alypiodes,Noctuidae,Lepidoptera
Alysia,Braconidae,Hymenoptera
Amannus,Cerambycidae,Coleoptera
Amara,Carabidae,Coleoptera
Amartus,Kateretidae,Coleoptera
Amastris,Membracidae,Hemiptera
Amaurochrous,Pentatomidae,Hemiptera
Amauromyza,Agromyzidae,Diptera
Amblonoxia,Scarabaeidae,Coleoptera
Ambloplisus,Ichneumonidae,Hymenoptera
Amblycerus,Chrysomelidae,Coleoptera
Amblycheila,Carabidae,Coleoptera
Amblycorypha,Tettigoniidae,Orthoptera
Amblyderus,Anthicidae,Coleoptera
Amblypsilopus,Dolichopodidae,Diptera
Amblyptilia,Pterophoridae,Lepidoptera
Amblyscirtes,Hesperiidae,Lepidoptera
Amblysellus,Cicadellidae,Hemiptera
Amblytropidia,Acrididae,Orthoptera
Amblytylus,Miridae,Hemiptera
Ambrosiodmus,Curculionidae,Coleoptera
Ambrysus,Naucoridae,Hemiptera
Ameletus,Ameletidae,Ephemeroptera
Ametastegia,Tenthredinidae,Hymenoptera
Ametris,Geometridae,Lepidoptera
Amiana,Noctuidae,Lepidoptera
Amiocentrus,Brachycentridae,Trichoptera
Ammobaenetes,Rhaphidophoridae,Orthoptera
Ammopelmatus,Stenopelmatidae,Orthoptera
Ammophila,Sphecidae,Hymenoptera
Amnestus,Cydnidae,Hemiptera
Amolita,Erebidae,Lepidoptera
Amonostherium,Pseudococcidae,Hemiptera
Amorbia,Tortricidae,Lepidoptera
Amorpha,Sphingidae,Lepidoptera
Amorphicola,Psyllidae,Hemiptera
Ampedus,Elateridae,Coleoptera
Ampeloglypter,Curculionidae,Coleoptera
Amphasia,Carabidae,Coleoptera
Amphelasma,Chrysomelidae,Coleoptera
Amphiagrion,Coenagrionidae,Odonata
Amphiareus,Anthocoridae,Hemiptera
Amphibolips,Cynipidae,Hymenoptera
Amphicerus,Bostrichidae,Coleoptera
Amphichroum,Staphylinidae,Coleoptera
Amphicrossus,Nitidulidae,Coleoptera
Amphigerontia,Psocidae,Psocodea
Amphimallon,Scarabaeidae,Coleoptera
Amphion,Sphingidae,Lepidoptera
Amphipoea,Noctuidae,Lepidoptera
Amphipyra,Noctuidae,Lepidoptera
Amphitornus,Acrididae,Orthoptera
Amphizoa,Amphizoidae,Coleoptera
Amphotis,Nitidulidae,Coleoptera
Amplicephalus,Cicadellidae,Hemiptera
Ampulex,Ampulicidae,Hymenoptera
Amycle,Fulgoridae,Hemiptera
Amydria,Tineidae,Lepidoptera
Amyelois,Pyralidae,Lepidoptera
Amyna,Noctuidae,Lepidoptera
Anabrus,Tettigoniidae,Orthoptera
Anacaena,Hydrophilidae,Coleoptera
Anacampsis,Gelechiidae,Lepidoptera
Anadelosemia,Pyralidae,Lepidoptera
Anaea,Nymphalidae,Lepidoptera
Anageshna,Crambidae,Lepidoptera
Anagrapha,Noctuidae,Lepidoptera
Anagyrus,Encyrtidae,Hymenoptera
Analeptura,Cerambycidae,Coleoptera
Anambodera,Buprestidae,Coleoptera
Anametis,Curculionidae,Coleoptera
Anania,Crambidae,Lepidoptera
Anaplectoides,Noctuidae,Lepidoptera
Anarsia,Gelechiidae,Lepidoptera
Anarta,Noctuidae,Lepidoptera
Anartia,Nymphalidae,Lepidoptera
Anasa,Coreidae,Hemiptera
Anaspis,Scraptiidae,Coleoptera
Anastatus,Eupelmidae,Hymenoptera
Anastoechus,Bombyliidae,Diptera
Anastrangalia,Cerambycidae,Coleoptera
Anastrepha,Tephritidae,Diptera
Anastrus,Hesperiidae,Lepidoptera
Anathix,Noctuidae,Lepidoptera
Anatis,Coccinellidae,Coleoptera
Anatralata,Crambidae,Lepidoptera
Anatrichis,Carabidae,Coleoptera
Anatrytone,Hesperiidae,Lepidoptera
Anavitrinella,Geometridae,Lepidoptera
Anax,Aeshnidae,Odonata
Anaxipha,Gryllidae,Orthoptera
Anchastus,Elateridae,Coleoptera
Anchomenus,Carabidae,Coleoptera
Anchomma,Tenebrionidae,Coleoptera
Ancistrocerus,Vespidae,Hymenoptera
Ancognatha,Scarabaeidae,Coleoptera
Anconia,Acrididae,Orthoptera
Ancylis,Tortricidae,Lepidoptera
Ancylocera,Cerambycidae,Coleoptera
Ancyloscelis,Apidae,Hymenoptera
Ancylosis,Pyralidae,Lepidoptera
Ancylostomia,Pyralidae,Lepidoptera
Ancyloxypha,Hesperiidae,Lepidoptera
Andrena,Andrenidae,Hymenoptera
Andrenosoma,Asilidae,Diptera
Andricus,Cynipidae,Hymenoptera
Androchirus,Tenebrionidae,Coleoptera
Androloma,Noctuidae,Lepidoptera
Androlyperus,Chrysomelidae,Coleoptera
Andropolia,Noctuidae,Lepidoptera
Aneflomorpha,Cerambycidae,Coleoptera
Aneflus,Cerambycidae,Coleoptera
Anelaphus,Cerambycidae,Coleoptera
Anelastes,Eucnemidae,Coleoptera
Anelpistus,Stenotrachelidae,Coleoptera
Anemosella,Pyralidae,Lepidoptera
Aneugmenus,Tenthredinidae,Hymenoptera
Aneurus,Aradidae,Hemiptera
Angarotipula,Tipulidae,Diptera
Anhimella,Noctuidae,Lepidoptera
Anicla,Noctuidae,Lepidoptera
Animomyia,Geometridae,Lepidoptera
Anisia,Tachinidae,Diptera
Anisodactylus,Carabidae,Coleoptera
Anisolabis,Anisolabididae,Dermaptera
Anisomorpha,Pseudophasmatidae,Phasmida
Anisoscelis,Coreidae,Hemiptera
Anisostena,Chrysomelidae,Coleoptera
Anisosticta,Coccinellidae,Coleoptera
Anisota,Saturniidae,Lepidoptera
Anisotoma,Leiodidae,Coleoptera
Annaphila,Noctuidae,Lepidoptera
Anobium,Ptinidae,Coleoptera
Anochrostomus,Lygaeidae,Hemiptera
Anoecia,Aphididae,Hemiptera
Anomala,Scarabaeidae,Coleoptera
Anomalacra,Scarabaeidae,Coleoptera
Anomalon,Ichneumonidae,Hymenoptera
Anomis,Erebidae,Lepidoptera
Anomoea,Chrysomelidae,Coleoptera
Anopheles,Culicidae,Diptera
Anopina,Tortricidae,Lepidoptera
Anoplius,Pompilidae,Hymenoptera
Anoplodera,Cerambycidae,Coleoptera
Anoplophora,Cerambycidae,Coleoptera
Anorostoma,Heleomyzidae,Diptera
Anorthodes,Noctuidae,Lepidoptera
Anorus,Dascillidae,Coleoptera
Anoscopus,Cicadellidae,Hemiptera
Anostirus,Elateridae,Coleoptera
Anotia,Derbidae,Hemiptera
Anotylus,Staphylinidae,Coleoptera
Anstenoptilia,Pterophoridae,Lepidoptera
Antaeotricha,Depressariidae,Lepidoptera
Anteon,Dryinidae,Hymenoptera
Anteos,Pieridae,Lepidoptera
Antepione,Geometridae,Lepidoptera
Antepirrhoe,Geometridae,Lepidoptera
Anterastria,Noctuidae,Lepidoptera
Anthanassa,Nymphalidae,Lepidoptera
Anthaxia,Buprestidae,Coleoptera
Antheminia,Pentatomidae,Hemiptera
Antheraea,Saturniidae,Lepidoptera
Antherophagus,Cryptophagidae,Coleoptera
Anthicus,Anthicidae,Coleoptera
Anthidiellum,Megachilidae,Hymenoptera
Anthidium,Megachilidae,Hymenoptera
Anthobium,Staphylinidae,Coleoptera
Anthocharis,Pieridae,Lepidoptera
Anthocomus,Melyridae,Coleoptera
Anthocoris,Anthocoridae,Hemiptera
Anthomyia,Anthomyiidae,Diptera
Anthonomus,Curculionidae,Coleoptera
Anthophila,Choreutidae,Lepidoptera
Anthophora,Apidae,Hymenoptera
Anthophorula,Apidae,Hymenoptera
Anthophylax,Cerambycidae,Coleoptera
Anthopotamus,Potamanthidae,Ephemeroptera
Anthracalaus,Elateridae,Coleoptera
Anthracopteryx,Elateridae,Coleoptera
Anthrax,Bombyliidae,Diptera
Anthrenus,Dermestidae,Coleoptera
Anthribus,Anthribidae,Coleoptera
Antianthe,Membracidae,Hemiptera
Antiblemma,Erebidae,Lepidoptera
Anticarsia,Erebidae,Lepidoptera
Anticlea,Geometridae,Lepidoptera
Antigastra,Crambidae,Lepidoptera
Antiplecta,Uraniidae,Lepidoptera
Antispila,Heliozelidae,Lepidoptera
Antistrophus,Cynipidae,Hymenoptera
Anurogryllus,Gryllidae,Orthoptera
Anycteola,Noctuidae,Lepidoptera
Aon,Erebidae,Lepidoptera
Aonidiella,Diaspididae,Hemiptera
Aoplonema,Miridae,Hemiptera
Apache,Derbidae,Hemiptera
Apamea,Noctuidae,Lepidoptera
Apanisagrion,Coenagrionidae,Odonata
Apanteles,Braconidae,Hymenoptera
Apantesis,Erebidae,Lepidoptera
Apatelodes,Bombycidae,Lepidoptera
Apateticus,Pentatomidae,Hemiptera
Apatides,Bostrichidae,Coleoptera
Apedilum,Chironomidae,Diptera
Apenes,Carabidae,Coleoptera
Aphaenogaster,Formicidae,Hymenoptera
Aphalaroida,Psyllidae,Hemiptera
Aphanotrigonum,Chloropidae,Diptera
Aphelia,Tortricidae,Lepidoptera
Aphelinus,Aphelinidae,Hymenoptera
Aphidecta,Coccinellidae,Coleoptera
Aphidius,Braconidae,Hymenoptera
Aphidoletes,Cecidomyiidae,Diptera
Aphilanthops,Crabronidae,Hymenoptera
Aphis,Aphididae,Hemiptera
Aphodius,Scarabaeidae,Coleoptera
Aphoebantus,Bombyliidae,Diptera
Aphomia,Pyralidae,Lepidoptera
Aphonus,Scarabaeidae,Coleoptera
Aphorista,Endomychidae,Coleoptera
Aphrastus,Curculionidae,Coleoptera
Aphria,Tachinidae,Diptera
Aphrissa,Pieridae,Lepidoptera
Aphrodes,Cicadellidae,Hemiptera
Aphrophora,Aphrophoridae,Hemiptera
Aphthona,Chrysomelidae,Coleoptera
Aphylla,Gomphidae,Odonata
Aphytis,Aphelinidae,Hymenoptera
Apilocrocis,Crambidae,Lepidoptera
Apiocera,Apioceridae,Diptera
Apiomerus,Reduviidae,Hemiptera
Apion,Brentidae,Coleoptera
Apis,Apidae,Hymenoptera
Aplectoides,Noctuidae,Lepidoptera
Apleurus,Curculionidae,Coleoptera
Aplocera,Geometridae,Lepidoptera
Apocephalus,Phoridae,Diptera
Apoda,Limacodidae,Lepidoptera
Apodemia,Riodinidae,Lepidoptera
Apodrepanulatrix,Geometridae,Lepidoptera
Apoecilus,Pentatomidae,Hemiptera
Apogeshna,Crambidae,Lepidoptera
Apogonalia,Cicadellidae,Hemiptera
Apolygus,Miridae,Hemiptera
Apolysis,Bombyliidae,Diptera
Apomyelois,Pyralidae,Lepidoptera
Aporus,Pompilidae,Hymenoptera
Apotolype,Lasiocampidae,Lepidoptera
Apotomis,Tortricidae,Lepidoptera
Apsena,Tenebrionidae,Coleoptera
Aptenopedes,Acrididae,Orthoptera
Apterobittacus,Bittacidae,Mecoptera
Apterocyclus,Lucanidae,Coleoptera
Apteroloma,Agyrtidae,Coleoptera
Apterona,Psychidae,Lepidoptera
Apyrrothrix,Hesperiidae,Lepidoptera
Aquarius,Gerridae,Hemiptera
Arachnis,Erebidae,Lepidoptera
Arachnospila,Pompilidae,Hymenoptera
Aradus,Aradidae,Hemiptera
Araecerus,Anthribidae,Coleoptera
Araeodontia,Cleridae,Coleoptera
Araeopteron,Erebidae,Lepidoptera
Aramos,Cossidae,Lepidoptera
Arawacus,Lycaenidae,Lepidoptera
Archaeoprepona,Nymphalidae,Lepidoptera
Archarius,Curculionidae,Coleoptera
Archasia,Membracidae,Hemiptera
Archiearis,Geometridae,Lepidoptera
Archilestes,Lestidae,Odonata
Archilestris,Asilidae,Diptera
Archips,Tortricidae,Lepidoptera
Archirhoe,Geometridae,Lepidoptera
Archodontes,Cerambycidae,Coleoptera
Archophileurus,Scarabaeidae,Coleoptera
Archytas,Tachinidae,Diptera
Arcobara,Geometridae,Lepidoptera
Arcola,Pyralidae,Lepidoptera
Arctia,Erebidae,Lepidoptera
Arctonotus,Sphingidae,Lepidoptera
Arenetra,Ichneumonidae,Hymenoptera
Areniscythris,Scythrididae,Lepidoptera
Arenivaga,Corydiidae,Blattodea
Arenochroa,Crambidae,Lepidoptera
Arequipa,Crambidae,Lepidoptera
Arethaea,Tettigoniidae,Orthoptera
Arge,Argidae,Hymenoptera
Argentostiria,Noctuidae,Lepidoptera
Argia,Coenagrionidae,Odonata
Argillophora,Noctuidae,Lepidoptera
Argogorytes,Crabronidae,Hymenoptera
Argopistes,Chrysomelidae,Coleoptera
Argoporis,Tenebrionidae,Coleoptera
Argyresthia,Argyresthiidae,Lepidoptera
Argyria,Crambidae,Lepidoptera
Argyrogramma,Noctuidae,Lepidoptera
Argyrostrotis,Erebidae,Lepidoptera
Argyrotaenia,Tortricidae,Lepidoptera
Arhaphe,Largidae,Hemiptera
Arhopalus,Cerambycidae,Coleoptera
Arhyssus,Rhopalidae,Hemiptera
Aridelus,Braconidae,Hymenoptera
Arigomphus,Gomphidae,Odonata
Arilus,Reduviidae,Hemiptera
Aristotelia,Gelechiidae,Lepidoptera
Armalia,Tenebrionidae,Coleoptera
Arocatus,Lygaeidae,Hemiptera
Aroga,Gelechiidae,Lepidoptera
Arogalea,Gelechiidae,Lepidoptera
Arotes,Ichneumonidae,Hymenoptera
Arotrura,Scythrididae,Lepidoptera
Arphia,Acrididae,Orthoptera
Arrhenodes,Brentidae,Coleoptera
Arta,Pyralidae,Lepidoptera
Artace,Lasiocampidae,Lepidoptera
Arteurotia,Hesperiidae,Lepidoptera
Arthrolips,Corylophidae,Coleoptera
Arthromacra,Tenebrionidae,Coleoptera
Arthropeas,Xylophagidae,Diptera
Artipus,Curculionidae,Coleoptera
Arugisa,Erebidae,Lepidoptera
Arvelius,Pentatomidae,Hemiptera
Arytainilla,Psyllidae,Hemiptera
Asaphes,Pteromalidae,Hymenoptera
Asaphidion,Carabidae,Coleoptera
Asaphocrita,Blastobasidae,Lepidoptera
Asbolis,Hesperiidae,Lepidoptera
Asbolus,Tenebrionidae,Coleoptera
Ascalapha,Erebidae,Lepidoptera
Ascaloptynx,Ascalaphidae,Neuroptera
Ascia,Pieridae,Lepidoptera
Asciodes,Crambidae,Lepidoptera
Asclera,Oedemeridae,Coleoptera
Ascogaster,Braconidae,Hymenoptera
Asemum,Cerambycidae,Coleoptera
Aseptis,Noctuidae,Lepidoptera
Ashlockaria,Rhyparochromidae,Hemiptera
Ashmeadiella,Megachilidae,Hymenoptera
Asilus,Asilidae,Diptera
Asobara,Braconidae,Hymenoptera
Asphaera,Chrysomelidae,Coleoptera
Asphondylia,Cecidomyiidae,Diptera
Aspidapion,Brentidae,Coleoptera
Aspidiotus,Diaspididae,Hemiptera
Aspidoglossa,Carabidae,Coleoptera
Aspitates,Geometridae,Lepidoptera
Astata,Crabronidae,Hymenoptera
Asteia,Asteiidae,Diptera
Astenus,Staphylinidae,Coleoptera
Asterocampa,Nymphalidae,Lepidoptera
Asteromyia,Cecidomyiidae,Diptera
Astraptes,Hesperiidae,Lepidoptera
Astrotischeria,Tischeriidae,Lepidoptera
Astyleiopus,Cerambycidae,Coleoptera
Astylidius,Cerambycidae,Coleoptera
Astylopsis,Cerambycidae,Coleoptera
Atacta,Tachinidae,Diptera
Ataeniopsis,Scarabaeidae,Coleoptera
Ataenius,Scarabaeidae,Coleoptera
Atalantycha,Cantharidae,Coleoptera
Atalopedes,Hesperiidae,Lepidoptera
Atanycolus,Braconidae,Hymenoptera
Atascosa,Pyralidae,Lepidoptera
Ataxia,Cerambycidae,Coleoptera
Ategumia,Crambidae,Lepidoptera
Ateloplus,Tettigoniidae,Orthoptera
Aterpia,Tortricidae,Lepidoptera
Ateuchus,Scarabaeidae,Coleoptera
Atheloca,Pyralidae,Lepidoptera
Atherigona,Muscidae,Diptera
Atheta,Staphylinidae,Coleoptera
Athetis,Noctuidae,Lepidoptera
Athous,Elateridae,Coleoptera
Athrips,Gelechiidae,Lepidoptera
Athyrma,Erebidae,Lepidoptera
Athysanus,Cicadellidae,Hemiptera
Atimia,Cerambycidae,Coleoptera
Atlanticus,Tettigoniidae,Orthoptera
Atlides,Lycaenidae,Lepidoptera
Atomacera,Argidae,Hymenoptera
Atomaria,Cryptophagidae,Coleoptera
Atomosia,Asilidae,Diptera
Atractotomus,Miridae,Hemiptera
Atrazonotus,Rhyparochromidae,Hemiptera
Atrichonotus,Curculionidae,Coleoptera
Atrusca,Cynipidae,Hymenoptera
Atrypanius,Cerambycidae,Coleoptera
Atrytone,Hesperiidae,Lepidoptera
Atrytonopsis,Hesperiidae,Lepidoptera
Atta,Formicidae,Hymenoptera
Attagenus,Dermestidae,Coleoptera
Attalus,Melyridae,Coleoptera
Attaneuria,Perlidae,Plecoptera
Atteva,Attevidae,Lepidoptera
Atylostagma,Cerambycidae,Coleoptera
Atylotus,Tabanidae,Diptera
Atymna,Membracidae,Hemiptera
Auchmobius,Tenebrionidae,Coleoptera
Aufeius,Rhopalidae,Hemiptera
Augochlora,Halictidae,Hymenoptera
Augochlorella,Halictidae,Hymenoptera
Augochloropsis,Halictidae,Hymenoptera
Augocoris,Scutelleridae,Hemiptera
Aulacaspis,Diaspididae,Hemiptera
Aulacidea,Cynipidae,Hymenoptera
Aulacorthum,Aphididae,Hemiptera
Auletobius,Attelabidae,Coleoptera
Aulocara,Acrididae,Orthoptera
Aulonium,Zopheridae,Coleoptera
Aulonothroscus,Throscidae,Coleoptera
Auplopus,Pompilidae,Hymenoptera
Australaphodius,Scarabaeidae,Coleoptera
Austrolimnophila,Limoniidae,Diptera
Autochton,Hesperiidae,Lepidoptera
Autographa,Noctuidae,Lepidoptera
Automeris,Saturniidae,Lepidoptera
Automola,Richardiidae,Diptera
Autoplusia,Noctuidae,Lepidoptera
Autosticha,Autostichidae,Lepidoptera
Axarus,Chironomidae,Diptera
Axenus,Noctuidae,Lepidoptera
Axinotarsus,Melyridae,Coleoptera
Axion,Coccinellidae,Coleoptera
Azenia,Noctuidae,Lepidoptera
Azeta,Erebidae,Lepidoptera
Azochis,Crambidae,Lepidoptera
Aztecacris,Acrididae,Orthoptera
Azya,Coccinellidae,Coleoptera
Babia,Chrysomelidae,Coleoptera
Baccha,Syrphidae,Diptera
Bactericera,Triozidae,Hemiptera
Bactra,Tortricidae,Lepidoptera
Bactrocera,Tephritidae,Diptera
Bactromantis,Thespidae,Mantodea
Badister,Carabidae,Coleoptera
Baeoalitriozus,Triozidae,Hemiptera
Baeocera,Staphylinidae,Coleoptera
Baetis,Baetidae,Ephemeroptera
Baetisca,Baetiscidae,Ephemeroptera
Baeus,Platygastridae,Hymenoptera
Bagisara,Noctuidae,Lepidoptera
Bagous,Curculionidae,Coleoptera
Bagrada,Pentatomidae,Hemiptera
Baileya,Nolidae,Lepidoptera
Balboa,Rhyparochromidae,Hemiptera
Balcanocerus,Cicadellidae,Hemiptera
Balclutha,Cicadellidae,Hemiptera
Baliosus,Chrysomelidae,Coleoptera
Balsa,Noctuidae,Lepidoptera
Banasa,Pentatomidae,Hemiptera
Banchus,Ichneumonidae,Hymenoptera
Bandara,Cicadellidae,Hemiptera
Baniana,Erebidae,Lepidoptera
Banisia,Thyrididae,Lepidoptera
Banksiola,Phryganeidae,Trichoptera
Baptarma,Noctuidae,Lepidoptera
Barbara,Tortricidae,Lepidoptera
Barberia,Pyralidae,Lepidoptera
Barberiella,Miridae,Hemiptera
Barce,Reduviidae,Hemiptera
Baris,Curculionidae,Coleoptera
Barynotus,Curculionidae,Coleoptera
Barypeithes,Curculionidae,Coleoptera
Barytettix,Acrididae,Orthoptera
Basiaeschna,Aeshnidae,Odonata
Basilia,Nycteribiidae,Diptera
Basilodes,Noctuidae,Lepidoptera
Bassareus,Chrysomelidae,Coleoptera
Batia,Oecophoridae,Lepidoptera
Batrachedra,Batrachedridae,Lepidoptera
Battaristis,Gelechiidae,Lepidoptera
Battigrassiella,Nicoletiidae,Zygentoma
Battus,Papilionidae,Lepidoptera
Batyle,Cerambycidae,Coleoptera
Beameria,Cicadidae,Hemiptera
Beckerus,Elateridae,Coleoptera
Bedellia,Bedelliidae,Lepidoptera
Behrensia,Noctuidae,Lepidoptera
Bellamira,Cerambycidae,Coleoptera
Bellardia,Calliphoridae,Diptera
Bellura,Noctuidae,Lepidoptera
Belocephalus,Tettigoniidae,Orthoptera
Belonochilus,Lygaeidae,Hemiptera
Belonocnema,Cynipidae,Hymenoptera
Belonuchus,Staphylinidae,Coleoptera
Belostoma,Belostomatidae,Hemiptera
Belotus,Cantharidae,Coleoptera
Belvosia,Tachinidae,Diptera
Bembecinus,Crabronidae,Hymenoptera
Bembidion,Carabidae,Coleoptera
Bembix,Crabronidae,Hymenoptera
